iter	Logloss
0	0.6869366202
1	0.6805840772
2	0.6745308613
3	0.6686299209
4	0.6627273516
5	0.6570858018
6	0.6517053277
7	0.6463455802
8	0.6412403366
9	0.6367315005
10	0.6319720923
11	0.6272834577
12	0.6227474917
13	0.6186490859
14	0.6141322737
15	0.6098154249
16	0.6056315291
17	0.6017118546
18	0.5977147786
19	0.5943625281
20	0.5910572915
21	0.5876531966
22	0.5842679747
23	0.5807011007
24	0.5773836191
25	0.5748498141
26	0.5716434357
27	0.5683681374
28	0.5650580703
29	0.5622092668
30	0.5592836797
31	0.5565344085
32	0.5538146825
33	0.5511220864
34	0.5485323365
35	0.5459264661
36	0.5434596712
37	0.5409899555
38	0.5386759417
39	0.5368556575
40	0.5350666035
41	0.5329066625
42	0.5308610826
43	0.5287826996
44	0.5267701473
45	0.5249540758
46	0.5232774732
47	0.5213936613
48	0.5195684342
49	0.5177230984
50	0.5161898964
51	0.5146479881
52	0.5132651518
53	0.5115980418
54	0.510199478
55	0.5087341849
56	0.5075181158
57	0.5062231285
58	0.5045686005
59	0.5031943581
60	0.5020204722
61	0.5005356321
62	0.4995203688
63	0.4982879544
64	0.4968398491
65	0.4956109172
66	0.4943388471
67	0.4929596618
68	0.491884241
69	0.4909108802
70	0.4897100891
71	0.4885137916
72	0.4873021599
73	0.48643715
74	0.485471372
75	0.4844112293
76	0.4834351723
77	0.4824495104
78	0.4814646348
79	0.4806798911
80	0.4798101067
81	0.4787222163
82	0.4778320987
83	0.47698012
84	0.4761080328
85	0.4752902052
86	0.474345884
87	0.4736042222
88	0.472652599
89	0.472027208
90	0.4710864817
91	0.470187405
92	0.4694068178
93	0.4685732347
94	0.4676674738
95	0.4669588678
96	0.466104839
97	0.465388622
98	0.4645725919
99	0.4639249578
100	0.4630103222
101	0.4623915873
102	0.4617572935
103	0.4610707059
104	0.4602937136
105	0.4597498245
106	0.4591133963
107	0.4583025337
108	0.4576219282
109	0.4570142587
110	0.4562438944
111	0.4554508656
112	0.4549855577
113	0.4544190885
114	0.4537781387
115	0.4531238766
116	0.4523996274
117	0.4517719897
118	0.4512075426
119	0.4506804483
120	0.45012555
121	0.4495515261
122	0.4488266871
123	0.4484685224
124	0.4478154399
125	0.4473137342
126	0.4466480697
127	0.4461856545
128	0.4457833968
129	0.4452891054
130	0.4449671701
131	0.4443387179
132	0.4438919459
133	0.4433604141
134	0.4428758962
135	0.4424635561
136	0.4420431557
137	0.4418342333
138	0.4414054355
139	0.4410406429
140	0.4406418115
141	0.4403598969
142	0.4399480904
143	0.4393763413
144	0.438852252
145	0.4384763097
146	0.4381752694
147	0.4377687148
148	0.4373997375
149	0.4369384176
150	0.4364309264
151	0.4361088506
152	0.435801098
153	0.4353166925
154	0.4349920048
155	0.4345036393
156	0.434180384
157	0.4337397906
158	0.4334067056
159	0.4330907804
160	0.4327984183
161	0.4323998959
162	0.4320063725
163	0.431661829
164	0.4312455851
165	0.4307956114
166	0.4304751365
167	0.4301798816
168	0.4298178132
169	0.4295020846
170	0.4291594227
171	0.4288766094
172	0.4286326934
173	0.4283493746
174	0.4280395157
175	0.4277736655
176	0.4275073099
177	0.4270953068
178	0.4267289695
179	0.4263769273
180	0.4261919893
181	0.4259689965
182	0.4255478939
183	0.4252820157
184	0.4250559336
185	0.4247928919
186	0.4246315451
187	0.4243804395
188	0.4240169106
189	0.4237888345
190	0.4235509286
191	0.4232460969
192	0.4230782344
193	0.4227226536
194	0.422341656
195	0.4220781088
196	0.4218592164
197	0.4216133345
198	0.4213975875
199	0.4212326178
200	0.4210488594
201	0.4208700157
202	0.4205650997
203	0.4203541834
204	0.4199870878
205	0.4198076825
206	0.4196131676
207	0.4193932079
208	0.4192403708
209	0.4190554608
210	0.4188295472
211	0.4186598031
212	0.4184625078
213	0.4182911628
214	0.4180230659
215	0.4176740849
216	0.4175317515
217	0.4173384442
218	0.4171453055
219	0.4169705061
220	0.4167925331
221	0.4165641761
222	0.4163587082
223	0.4161377655
224	0.4159170476
225	0.4157654462
226	0.4156189842
227	0.4152865733
228	0.4149999685
229	0.4146939292
230	0.414525842
231	0.4144194008
232	0.4142834145
233	0.4141352676
234	0.4140061339
235	0.413868603
236	0.4135619457
237	0.4132566365
238	0.4131002607
239	0.4129511027
240	0.4126154339
241	0.4122977955
242	0.4122180068
243	0.4120697194
244	0.4119275825
245	0.4116506108
246	0.4113290686
247	0.4111276168
248	0.4108892336
249	0.4107343462
250	0.4104932949
251	0.4103520568
252	0.4102774637
253	0.4101096855
254	0.4099460638
255	0.4098789132
256	0.4097239416
257	0.4094462117
258	0.4093144381
259	0.4092172649
260	0.4090662813
261	0.4089254083
262	0.4088020882
